51075.302394 19.849 0.039
52196.302934 19.863 0.030
52197.316043 19.831 0.032
52225.166196 19.864 0.035
52231.201980 19.872 0.030
52253.188150 19.955 0.047
52557.309981 19.590 0.028
52578.206066 19.504 0.023
52908.284550 19.620 0.028
52911.298336 19.589 0.035
52930.175709 19.604 0.029
52934.216450 19.642 0.030
52936.212377 19.678 0.026
52962.137899 19.636 0.028
53270.276443 19.713 0.030
53272.326380 19.706 0.032
53286.295098 19.667 0.029
53288.253591 19.694 0.029
53294.301264 19.720 0.032
53302.249259 19.741 0.041
53312.204797 19.671 0.038
53314.205987 19.737 0.030
#53616.310352 -99.000 0.188
53623.300563 19.816 0.063
53626.286776 19.727 0.032
53628.271641 19.791 0.042
53637.273257 19.771 0.044
53639.318635 19.728 0.028
53644.265793 19.767 0.029
53654.300325 19.736 0.030
53656.247920 19.730 0.045
53663.261230 19.770 0.032
53668.250830 19.674 0.047
53670.255681 19.681 0.028
53673.223666 19.707 0.028
53675.220555 19.713 0.030
53677.241585 19.753 0.025
53680.228251 19.716 0.029
53693.230148 19.629 0.031
53704.213473 19.647 0.031
53974.306141 19.790 0.028
53989.309631 19.796 0.043
#53997.405206 -99.000 0.033
54000.285081 19.802 0.039
54007.335127 19.783 0.031
54009.258937 19.820 0.035
54011.323365 19.721 0.032
54019.273560 19.674 0.029
54025.322438 19.696 0.032
54029.252731 19.680 0.036
54348.320150 19.774 0.033
54358.275926 19.805 0.036
54359.270043 19.738 0.048
54365.309020 19.772 0.031
54373.383328 19.717 0.049
54381.328697 19.786 0.033
54386.320896 19.747 0.033
54388.325192 19.757 0.028
54403.239003 19.812 0.050
54404.296514 19.750 0.030
54405.294453 19.833 0.035
54406.232767 19.804 0.028
#54412.235676 -99.000 0.045

