51075.331344  18.942 0.053
52196.350551  19.016 0.049
52197.344946  19.085 0.051
52207.317311  18.997 0.044
52225.195148  19.019 0.047
52231.230931  19.044 0.042
52253.217099  18.913 0.042
52557.338933  18.983 0.052
52578.235018  18.954 0.041
52908.313498  19.072 0.054
52934.245400  19.203 0.077
52936.241327  19.104 0.042
52962.166852  19.120 0.067
53270.305415  19.291 0.042
53272.355329  19.190 0.050
53286.324049  19.235 0.055
53288.282539  19.171 0.053
53294.330216  19.114 0.060
53296.277231  19.295 0.072
53298.326994  19.158 0.067
53302.278208  19.219 0.053
53312.233768  19.230 0.067
53314.234937  19.186 0.059
53616.339297  19.250 0.076
53626.315723  19.146 0.048
53628.300588  19.015 0.055
53637.302205  19.105 0.073
53639.347582  19.086 0.040
53654.329275  19.211 0.057
53663.290179  19.223 0.050
53666.360278  19.150 0.054
53668.279779  19.288 0.088
53670.284631  19.060 0.051
53673.252617  19.229 0.050
53675.249505  19.212 0.060
53677.270536  19.205 0.045
53680.257202  19.284 0.053
53693.259098  19.152 0.060
53698.256488  19.097 0.054
53704.242420  19.053 0.083
53974.335094  19.305 0.050
53977.383687  19.290 0.045
53989.338505  19.319 0.054
53995.353097  19.325 0.045
54000.313946  19.265 0.068
54006.260654  19.227 0.052
54007.364061  19.301 0.061
54009.287836  19.262 0.048
54011.352303  19.368 0.048
54025.351315  19.161 0.057
54029.281666  19.299 0.082
54348.349077  19.182 0.049
54358.304922  19.137 0.058
54359.298902  19.199 0.124
54365.337940  19.204 0.046
54381.357545  19.191 0.042
54384.364151  19.289 0.056
54386.349829  19.117 0.053
54388.354142  19.242 0.047
54403.267958  19.293 0.120
54404.325448  19.238 0.052
54405.323399  19.209 0.052
54406.261702  19.178 0.055
54412.264648  19.180 0.055

