51081.261812  19.051 0.027
52558.298151  18.869 0.025
52577.185648  18.894 0.025
52586.189127  18.792 0.023
52910.269610  18.977 0.023
52931.199810  18.933 0.024
52935.196774  18.911 0.025
52959.140101  18.924 0.024
52963.119845  18.928 0.022
53313.189974  18.913 0.029
53352.090910  18.911 0.022
53622.299214  19.150 0.035
53634.248685  19.257 0.104
53636.254218  19.108 0.042
53638.290020  19.110 0.031
#53640.254055u -99.000 0.679
53655.226225  19.203 0.067
53664.251182  19.042 0.046
53666.214786  19.110 0.030
53669.210424  19.103 0.027
53671.295201  19.063 0.038
53674.194659  19.095 0.030
53676.284145  19.083 0.037
53679.256033  19.103 0.034
53681.247545  19.105 0.034
53685.206595  19.080 0.094
53687.244935  19.189 0.073
53697.204568  19.116 0.058
53700.203527  19.147 0.034
53705.190197  19.144 0.032
53975.275211  18.982 0.039
53993.342996  19.015 0.039
53996.281943  19.023 0.025
53998.250577  18.963 0.025
54005.280812  18.975 0.025
54010.236037  19.015 0.028
54012.228878  19.061 0.047
54020.234875  18.966 0.034
54022.284174  18.987 0.027
54028.225244  18.980 0.027
54030.228415  19.023 0.029
54035.304225  18.931 0.033
54037.209689  18.904 0.033
54040.224229  19.036 0.044
54049.250644  19.072 0.051
54050.208776  19.001 0.048
54053.214946  19.089 0.030
54056.216601  18.985 0.040
54059.210912  19.042 0.041
54062.215837  18.958 0.041
54357.254100  19.281 0.035
54362.303879  19.361 0.039
#54385.301906u -99.000 0.046
54387.302398  19.249 0.037
54392.297129  19.251 0.033
54402.295641  19.311 0.078

