#51081.260978  -99.000 0.013
52558.297317  18.342 0.009
52577.184814  18.286 0.010
52586.188293  18.308 0.010
52910.268776  18.346 0.009
52931.198976  18.351 0.009
52935.195940  18.367 0.010
52959.139267  18.361 0.009
52963.119011  18.381 0.009
53313.189140  18.312 0.010
53352.090076  18.336 0.010
53622.298380  18.516 0.013
53634.247851  18.561 0.021
53636.253384  18.468 0.013
53638.289186  18.504 0.010
#53640.253221i -99.000 0.014
53655.225391  18.431 0.018
53664.250348  18.467 0.013
53666.213952  18.476 0.010
53669.209590  18.467 0.010
53671.294367  18.491 0.011
53674.193825  18.480 0.011
53676.283311  18.484 0.012
53679.255199  18.471 0.011
53681.246711  18.461 0.010
53685.205761  18.525 0.028
53687.244101  18.531 0.014
53697.203734  18.517 0.021
53700.202693  18.504 0.011
53705.189363  18.477 0.014
53975.274378  18.492 0.017
53993.342163  18.498 0.016
53996.281110  18.451 0.018
53998.249743  18.443 0.016
54005.279979  18.439 0.017
54010.235204  18.444 0.017
54012.228045  18.466 0.021
54020.234042  18.453 0.016
54022.283340  18.461 0.015
54028.224411  18.465 0.015
54030.227581  18.434 0.017
54035.303391  18.440 0.015
54037.208855  18.489 0.020
54040.223396  18.443 0.016
54049.249811  18.448 0.017
54050.207943  18.430 0.025
54053.214113  18.432 0.014
54056.215768  18.450 0.016
54059.210078  18.469 0.029
54062.215004  18.475 0.019
54357.253266  18.647 0.020
54362.303046  18.648 0.018
54385.301073  18.658 0.021
54387.301565  18.622 0.014
54392.296295  18.604 0.013
54402.294807  18.620 0.018

