#ID ra dec P r ug gr ri iz gN gAmpl rN rAmpl iN iAmpl zQSO MiQSO cl
18714 2.410348 -0.663811 1.4836461 19.65 0.42 0.02 0.06 0.19 49 0.472 54 0.446 52 0.351 2.25 -26.1 QSO
18787 0.061765 -1.175201 1.4836461 19.35 -0.01 0.01 0.15 -0.06 52 0.62 57 0.471 57 0.415 1.89 -26.149 QSO
18792 4.863219 0.594191 1.4836461 18.73 0.26 0.32 0.04 -0.08 54 0.319 54 0.227 55 0.253 1.29 -25.517 QSO
18822 0.228995 1.028733 1.4836461 19.32 0.33 0.34 0.18 0.05 56 0.351 57 0.263 57 0.256 1.46 -25.487 QSO
19055 0.455565 0.958806 1.4836461 20.02 0.02 0.24 -0.07 -0.03 54 0.495 55 0.405 56 0.408 1.2 -23.976 QSO
19608 0.628919 -0.104593 1.4836461 19.11 -0.06 0.33 -0.01 -0.15 59 0.645 62 0.467 61 0.473 1.34 -25.142 QSO
20766 2.739976 1.169876 1.4836461 18.84 3.0 0.58 0.11 0.09 61 0.265 61 0.198 59 0.165 3.11 -27.706 QSO
20907 2.272355 -0.19074 1.4836461 19.8 -0.16 0.32 0.08 -0.15 57 0.225 61 0.22 60 0.185 1.18 -24.373 QSO
21200 2.883411 -0.094896 1.4836461 19.6 0.92 0.05 0.02 0.06 59 0.304 62 0.318 61 0.298 2.88 -26.493 QSO
21530 3.774379 -0.092884 1.4836461 20.41 0.06 -0.07 0.28 -0.06 59 0.539 61 0.494 59 0.384 1.85 -25.122 QSO
21996 3.501873 0.715417 1.4836461 18.21 0.09 0.02 0.19 0.0 59 0.424 61 0.374 60 0.332 1.71 -26.714 QSO
22275 0.225087 0.917513 1.4836461 19.47 0.33 0.25 0.03 -0.02 56 0.3 57 0.315 57 0.214 1.18 -24.713 QSO
22611 3.270849 -1.097007 1.4836461 19.82 -0.43 0.33 0.05 -0.1 53 0.858 52 0.714 51 0.76 1.26 -24.613 QSO
23309 4.990903 1.198186 1.4836461 17.8 0.12 0.2 -0.01 -0.11 62 0.248 60 0.193 60 0.202 1.13 -26.085 QSO
23343 0.296644 -0.33654 1.4836461 18.49 0.53 0.11 0.22 0.06 56 0.411 55 0.427 54 0.359 0.52 -23.894 QSO
23705 3.448342 -0.4186 1.4836461 18.44 0.0 0.24 -0.06 -0.14 110 0.398 115 0.298 114 0.341 1.12 -25.336 QSO
24646 0.049831 0.040365 1.4836461 17.76 0.22 -0.09 0.06 0.06 53 0.167 56 0.258 55 0.165 0.48 -24.046 QSO
25070 4.128096 0.543249 1.4836461 18.71 0.22 0.14 0.1 0.22 51 0.236 51 0.211 53 0.202 2.11 -26.98 QSO
25205 4.917616 -0.909982 1.4836461 19.12 0.08 0.15 0.0 -0.12 62 0.595 61 0.478 60 0.476 1.37 -24.957 QSO
25378 2.58452 -0.127459 1.4836461 19.55 0.11 -0.04 0.17 0.21 60 0.425 62 0.427 61 0.36 2.15 -26.36 QSO
25458 0.91297 1.172118 1.4836461 19.86 0.5 0.13 0.38 -0.01 59 0.512 62 0.38 61 0.339 1.7 -25.344 QSO
25512 0.354742 0.002639 1.4836461 19.47 0.01 0.13 0.26 0.26 116 0.431 120 0.38 116 0.287 1.97 -25.985 QSO
25552 0.608748 0.096985 1.4836461 18.68 0.14 0.03 0.18 0.02 53 0.446 56 0.399 55 0.363 1.65 -26.533 QSO
26043 3.951079 0.140875 1.4836461 20.09 0.23 -0.01 0.22 -0.01 57 0.67 55 0.565 53 0.435 1.72 -25.027 QSO
26332 3.619729 0.651309 1.4836461 19.04 -0.1 0.18 -0.03 -0.09 58 1.093 61 0.801 62 0.853 1.17 -24.334 QSO
26531 2.323693 -0.229112 1.4836461 19.91 0.22 0.1 0.2 -0.14 53 0.666 57 0.629 52 0.496 1.54 -25.177 QSO
27945 1.454387 -0.57653 1.4836461 19.0 0.14 0.05 0.23 -0.06 60 0.525 64 0.362 59 0.252 1.62 -26.165 QSO
28985 3.456783 -0.797727 1.4836461 19.64 0.04 0.09 0.28 0.08 52 0.533 51 0.432 50 0.357 1.93 -26.096 QSO
29973 1.95226 -0.063962 1.4836461 18.42 0.1 0.26 -0.06 -0.11 60 0.37 60 0.262 60 0.237 1.23 -25.651 QSO
30279 1.97855 -0.667693 1.4836461 19.77 0.38 -0.11 0.14 0.06 53 0.387 52 0.353 56 0.307 0.57 -22.688 QSO
30481 0.422633 0.399002 1.4836461 19.13 0.18 0.16 -0.06 0.11 57 0.513 63 0.407 63 0.421 0.93 -24.685 QSO
30691 4.41153 -0.521356 1.4836461 18.73 0.34 0.02 -0.07 0.15 62 0.372 63 0.405 61 0.408 0.85 -24.661 QSO
31440 3.779196 -0.133595 1.4836461 18.2 0.09 0.24 0.32 -0.01 60 0.349 60 0.25 60 0.178 1.7 -27.176 QSO
32184 4.305819 -0.413493 1.4836461 20.09 2.85 0.08 -0.05 -0.04 56 0.288 62 0.306 61 0.359 3.19 -26.261 QSO
32374 2.512342 -1.018681 1.4836461 18.55 0.54 0.17 0.24 -0.04 61 0.504 62 0.426 63 0.348 0.55 -23.65 QSO
32817 1.141374 -0.812436 1.4836461 19.24 0.61 0.62 0.22 0.03 54 0.499 54 0.404 54 0.39 1.29 -25.364 QSO
33348 2.144652 0.532281 1.4836461 17.17 0.05 0.13 -0.05 0.18 52 0.443 54 0.406 53 0.413 0.26 -23.1 QSO
33734 4.86615 0.566653 1.4836461 19.13 0.39 0.26 0.34 0.15 53 0.268 53 0.253 54 0.212 1.62 -26.08 QSO
34544 1.234033 0.112662 1.4836461 19.95 0.41 0.42 0.1 0.03 53 0.504 50 0.477 51 0.457 1.04 -24.194 QSO
34752 1.594168 -0.073438 1.4836461 19.45 0.08 0.37 -0.02 -0.05 57 0.329 59 0.304 58 0.395 1.04 -24.328 QSO
35034 0.057515 -0.912991 1.4836461 19.81 0.14 0.08 0.43 0.05 61 0.403 61 0.37 62 0.292 1.84 -25.648 QSO
36047 2.022503 -0.167159 1.4836461 18.35 0.31 0.01 -0.02 0.09 60 0.435 60 0.409 60 0.383 0.73 -24.462 QSO
36155 3.277544 -0.505778 1.4836461 19.87 0.5 0.13 0.22 0.26 60 0.757 61 0.69 60 0.549 2.13 -25.573 QSO
36251 0.074527 0.436852 1.4836461 19.87 0.25 0.08 0.31 0.1 37 0.482 37 0.278 38 0.253 0.55 -22.667 QSO
36457 0.550308 -0.885858 1.4836461 19.68 0.5 0.13 0.08 0.26 60 0.55 62 0.499 63 0.446 2.21 -26.202 QSO
36689 1.16356 -0.529298 1.4836461 19.69 0.02 -0.03 0.25 0.03 62 0.3 63 0.279 64 0.256 1.85 -25.738 QSO
37675 1.354688 0.295896 1.4836461 19.56 0.09 0.11 -0.08 0.1 61 0.476 62 0.38 61 0.449 1.03 -24.383 QSO
37750 2.600755 -0.923931 1.4836461 19.93 -0.0 -0.0 0.2 0.08 62 0.43 63 0.445 62 0.359 1.93 -25.565 QSO
37908 2.5085 0.706826 1.4836461 18.88 0.3 0.39 0.11 0.0 55 0.371 62 0.271 61 0.249 1.21 -25.368 QSO
37929 3.519197 -1.06608 1.4836461 18.23 0.26 0.16 0.04 0.09 53 0.202 53 0.203 53 0.175 0.98 -25.616 QSO
38378 3.098177 0.633374 1.4836461 19.19 -0.01 -0.1 0.28 0.0 103 0.479 104 0.423 105 0.364 1.86 -26.149 QSO
38814 1.37139 -0.833773 1.4836461 20.13 0.15 0.03 0.11 0.18 56 0.352 61 0.292 61 0.239 2.12 -25.615 QSO
40212 4.868468 -0.721289 1.4836461 20.01 0.21 0.07 0.26 -0.04 53 0.585 55 0.478 55 0.306 1.79 -25.371 QSO
41060 3.95451 0.292229 1.4836461 19.43 1.77 0.19 -0.03 -0.02 58 0.199 60 0.323 62 0.28 3.07 -26.747 QSO
41684 2.627302 1.001687 1.4836461 17.61 0.42 0.41 0.11 0.54 56 0.408 52 0.317 56 0.292 0.38 -24.018 QSO
42386 0.331013 -1.209564 1.4836461 19.58 0.56 0.06 0.16 0.28 53 0.624 54 0.623 55 0.547 2.21 -25.973 QSO
42433 0.861141 0.199241 1.4836461 19.06 0.02 0.03 0.24 -0.01 52 0.492 55 0.416 54 0.569 1.85 -26.205 QSO
42444 2.021579 -0.662998 1.4836461 20.13 0.04 0.0 0.24 0.12 52 0.609 51 0.62 54 0.525 1.92 -25.137 QSO
42641 0.844196 -0.494779 1.4836461 20.04 0.36 0.07 0.23 0.07 62 0.659 63 0.625 63 0.558 0.65 -23.139 QSO
42942 0.221211 -0.620221 1.4836461 18.59 0.16 0.08 -0.04 -0.05 64 0.36 64 0.298 64 0.293 1.32 -25.879 QSO
43590 1.200348 -0.389386 1.4836461 19.71 0.07 -0.04 0.23 -0.02 52 0.599 50 0.48 53 0.411 1.73 -25.62 QSO
44039 4.475689 1.189846 1.4836461 18.9 0.04 0.26 0.21 0.08 60 0.543 62 0.426 59 0.381 1.46 -25.954 QSO
44321 0.239928 1.116289 1.4836461 19.71 0.63 0.19 0.03 0.17 59 0.402 63 0.415 60 0.403 2.55 -25.957 QSO
44617 1.668651 0.785337 1.4836461 19.89 -0.01 -0.03 0.24 -0.03 60 0.631 61 0.549 61 0.446 1.85 -25.557 QSO
45027 2.788213 -0.984289 1.4836461 19.99 0.18 0.1 0.26 -0.03 58 0.588 60 0.482 61 0.404 1.66 -24.884 QSO
45415 4.240662 0.937436 1.4836461 19.25 0.4 0.5 0.64 0.24 50 0.379 51 0.251 53 0.238 1.88 -26.732 QSO
45600 1.08761 -0.567515 1.4836461 18.47 0.19 0.04 0.12 -0.12 63 0.512 63 0.426 64 0.38 1.46 -26.007 QSO
46915 0.2426 -0.779602 1.4836461 18.56 -0.07 -0.03 0.26 0.04 54 0.417 58 0.368 56 0.29 1.9 -26.732 QSO
47417 3.768111 -0.910878 1.4836461 18.16 0.33 -0.13 0.09 -0.1 61 0.451 59 0.42 60 0.33 0.65 -24.467 QSO
48090 3.353624 0.804909 1.4836461 20.33 0.07 -0.05 0.23 -0.01 58 0.499 59 0.415 59 0.326 1.86 -25.258 QSO
49023 1.520764 -1.249814 1.4836461 19.87 0.61 0.18 -0.06 0.12 50 0.385 51 0.281 53 0.302 2.5 -25.612 QSO
49159 0.027209 0.515353 1.4836461 20.07 0.04 -0.06 0.18 -0.09 53 0.588 57 0.474 57 0.384 1.82 -25.1 QSO
49422 2.592206 -0.371337 1.4836461 19.61 0.25 0.08 0.1 0.15 53 0.311 53 0.29 54 0.34 0.86 -23.797 QSO
50026 0.064493 0.879692 1.0007025 19.21 0.15 0.04 0.22 -0.01 55 0.563 56 0.446 56 0.339 1.85 -26.017 QSO
50411 1.755535 0.378448 1216.7749309 17.06 0.23 0.11 -0.04 0.07 60 0.415 62 0.376 61 0.339 0.89 -26.274 QSO
50504 2.790018 0.76268 1647.654705 19.85 -0.03 0.12 0.11 -0.05 51 0.442 59 0.366 60 0.373 1.48 -24.999 QSO
50598 2.723185 0.111929 2141.9044561 19.43 0.0 0.15 0.4 0.06 52 0.481 52 0.399 56 0.283 1.87 -26.298 QSO
51217 4.020004 -0.278405 0.9977174 19.84 0.0 -0.02 0.18 0.21 52 0.53 51 0.503 51 0.389 2.01 -25.552 QSO
51380 1.935909 -0.914259 3131.3402747 19.62 -0.05 0.27 -0.01 -0.09 61 0.6 61 0.456 60 0.439 1.27 -24.871 QSO
51476 3.123811 0.010531 824.4641945 19.12 0.03 0.02 0.08 0.18 52 0.309 54 0.28 53 0.259 2.04 -26.317 QSO
51852 4.868893 0.294701 1664.2556848 19.9 0.52 0.25 0.36 0.17 62 0.404 59 0.351 61 0.321 1.8 -25.649 QSO
51944 2.661998 -0.86218 1474.7955873 19.95 0.06 0.23 0.22 0.03 61 0.58 63 0.458 64 0.454 1.52 -24.938 QSO
51980 3.322754 -0.109935 2611.5107468 19.89 0.66 0.04 0.15 0.2 53 0.617 53 0.617 53 0.583 0.68 -22.91 QSO
52766 1.215786 1.211095 3336.933281 19.92 0.18 0.19 0.24 0.0 62 0.51 62 0.349 60 0.283 1.55 -24.971 QSO
53132 3.987847 0.806233 1603.6628544 19.67 0.85 0.44 0.11 0.3 58 0.395 61 0.348 62 0.348 2.31 -26.101 QSO
54008 2.091952 -0.384098 977.0648323 19.49 1.05 0.25 0.09 -0.02 53 0.229 53 0.236 54 0.201 3.06 -26.918 QSO
54088 4.199277 1.205643 1298.0521036 19.33 0.67 0.45 0.3 0.04 60 0.59 60 0.48 58 0.411 1.49 -25.832 QSO
54554 1.95854 -0.154085 3320.164783 18.85 0.16 -0.02 -0.13 0.11 60 0.313 60 0.308 60 0.302 0.8 -24.093 QSO
54929 4.449143 -0.304405 794.1601779 19.79 0.54 0.12 -0.05 0.16 49 0.271 52 0.255 51 0.196 2.5 -25.977 QSO
55571 2.614264 0.492443 1565.6301149 19.89 -0.02 0.32 0.0 0.06 52 0.485 53 0.338 53 0.357 1.21 -24.174 QSO
56217 3.650716 -0.882221 1234.9695836 19.8 0.15 0.37 -0.03 -0.0 59 0.496 60 0.371 60 0.312 1.15 -24.263 QSO
56423 1.473817 -1.02158 2159.1921703 19.86 0.3 0.01 0.18 0.0 58 0.462 64 0.413 62 0.314 0.63 -22.817 QSO
