#ID ra dec P r ug gr ri iz gN gAmpl rN rAmpl iN iAmpl zQSO MiQSO cl
564361 346.937523 -0.856311 1915.1022451 19.9 0.01 -0.04 0.26 0.02 61 0.631 62 0.541 62 0.438 1.85 -25.625 QSO
565648 347.845012 -0.960383 1225.8047425 19.01 0.4 0.1 0.16 0.04 61 0.496 61 0.428 59 0.311 0.69 -23.777 QSO
565737 348.287752 -0.658113 808.2295966 19.17 0.57 0.14 0.25 -0.03 55 0.349 56 0.3 56 0.261 0.62 -23.682 QSO
566021 345.44097 -1.230861 1655.6053266 19.64 0.01 0.35 -0.02 -0.06 53 0.43 54 0.383 54 0.34 1.24 -24.776 QSO
567213 346.616859 0.126335 1282.8195346 19.87 0.12 -0.02 0.18 0.01 53 0.515 54 0.423 54 0.328 1.79 -25.359 QSO
567217 346.156855 -0.950922 2715.2567976 19.84 0.47 0.09 0.08 0.27 59 0.423 58 0.443 59 0.439 2.49 -26.186 QSO
567244 346.459816 -0.827242 3327.017566 19.13 0.09 0.12 -0.07 0.16 58 0.428 57 0.343 56 0.367 1.0 -24.49 QSO
568312 349.971158 -1.027537 1790.5496071 20.02 0.09 0.27 0.05 -0.02 58 0.319 60 0.24 60 0.311 1.15 -23.99 QSO
569170 349.11704 -1.023515 1201.2960041 20.05 0.05 -0.0 0.21 0.13 60 0.51 61 0.422 60 0.343 1.73 -25.525 QSO
570173 345.293803 0.515485 0.9942203 19.92 0.05 0.24 -0.12 -0.04 53 0.578 53 0.453 53 0.482 1.1 -23.866 QSO
570217 345.548218 0.328803 2124.4694434 18.87 0.13 0.34 0.17 -0.02 60 0.401 60 0.275 60 0.261 1.49 -26.081 QSO
570234 346.352929 0.606914 0.3326806 19.01 0.42 0.07 0.26 -0.09 59 0.311 58 0.264 58 0.212 0.61 -23.687 QSO
570913 346.435621 0.894028 0.9970623 19.8 0.12 0.13 0.2 -0.14 58 0.918 57 0.74 58 0.624 1.5 -25.608 QSO
571901 348.753391 -0.308684 1874.5726582 18.42 -0.1 0.17 -0.06 -0.12 55 0.442 58 0.304 55 0.283 1.32 -25.793 QSO
572808 348.130706 -1.193742 1.0005558 19.68 -0.07 0.29 0.02 -0.03 54 0.387 58 0.295 55 0.272 1.36 -24.698 QSO
573609 346.817342 0.523463 2862.6495821 18.39 0.51 -0.01 -0.05 0.11 57 0.476 57 0.458 58 0.389 2.55 -27.133 QSO
573845 346.896736 0.884157 2934.938709 19.57 0.18 0.05 0.25 -0.02 58 0.695 58 0.665 58 0.506 1.76 -25.434 QSO
574019 349.318385 1.198884 0.9965959 19.95 0.05 0.07 0.24 0.07 59 0.44 60 0.408 58 0.302 1.9 -25.527 QSO
574091 347.880129 -0.47849 1253.7166304 18.4 0.8 0.15 0.3 0.03 57 0.334 60 0.323 59 0.372 0.59 -24.228 QSO
574939 347.700815 1.22979 3336.933316 19.49 0.24 0.35 0.42 0.18 61 0.297 62 0.265 60 0.274 1.9 -26.257 QSO
575035 348.904652 0.907683 2891.1336566 20.07 0.51 0.16 -0.03 0.09 52 0.559 54 0.593 56 0.604 2.65 -26.179 QSO
575783 15.530182 0.086335 2351.2444276 19.26 0.15 0.2 -0.15 0.03 58 0.645 57 0.527 57 0.556 1.02 -24.492 QSO
575921 18.480454 1.118486 2020.5366946 19.88 0.02 0.23 0.02 -0.03 63 0.736 65 0.44 61 0.494 1.41 -24.826 QSO
575962 19.774663 0.592121 3034.9141104 19.78 -0.07 0.31 -0.09 -0.07 55 0.661 55 0.494 56 0.483 1.29 -24.332 QSO
576116 18.257649 0.109305 3321.033946 18.14 0.13 0.02 0.16 0.02 53 0.566 56 0.445 55 0.381 1.69 -27.198 QSO
576204 17.368126 1.075584 1725.1043945 19.38 0.3 0.09 0.15 0.07 63 0.384 64 0.319 61 0.293 0.45 -22.605 QSO
576260 19.262028 0.303643 208.4346153 20.25 0.11 -0.02 0.23 0.02 57 0.307 58 0.213 58 0.334 1.78 -25.067 QSO
576340 16.308797 -1.039715 2316.8585654 18.97 0.32 -0.03 0.15 -0.04 54 0.545 64 0.459 62 0.404 0.55 -23.116 QSO
577633 15.43345 -0.684408 3072.7324388 20.26 0.1 0.03 0.36 0.16 52 0.59 56 0.633 56 0.532 2.01 -25.168 QSO
577694 19.140404 0.107081 1862.7894162 18.36 0.05 0.22 0.03 -0.04 52 0.34 54 0.309 55 0.262 1.32 -25.893 QSO
577969 15.136663 0.315436 1.0004843 19.96 0.28 0.1 0.18 0.06 62 0.359 62 0.284 61 0.254 1.45 -24.732 QSO
579653 16.72522 0.395853 2.0013898 19.98 0.04 0.2 -0.08 0.05 59 0.525 62 0.407 63 0.401 1.02 -23.712 QSO
579851 18.776375 0.749748 3254.7650943 20.12 0.01 0.12 0.36 0.04 59 0.631 64 0.987 65 0.653 1.75 -25.461 QSO
580686 16.741016 0.359417 2032.970741 19.95 0.05 0.14 0.17 0.21 60 0.606 62 0.586 64 0.556 1.98 -25.502 QSO
580711 15.872675 0.681934 2839.7387711 18.46 -0.12 0.26 0.04 -0.06 59 0.641 60 0.472 62 0.463 1.43 -26.33 QSO
581333 18.969143 0.100277 3304.3452188 19.14 3.1 0.32 0.06 -0.05 53 0.351 55 0.402 55 0.414 3.19 -27.591 QSO
582730 16.281983 -1.200691 952.5974606 20.04 0.15 0.05 0.06 0.25 55 0.696 56 0.547 57 0.536 0.9 -23.653 QSO
582864 17.448935 -0.058514 2528.2533567 20.08 0.05 0.06 0.35 0.04 60 0.797 63 0.617 63 0.493 1.75 -25.678 QSO
582976 15.866867 0.382382 3281.6861676 19.97 0.36 0.1 -0.05 0.21 54 0.633 60 0.701 61 0.611 0.89 -23.471 QSO
583026 15.524554 0.199175 1734.9991229 17.07 0.37 0.05 0.07 0.13 57 0.167 56 0.185 56 0.299 0.73 -25.928 QSO
583638 18.380947 -0.410774 1780.3998188 19.39 0.19 0.09 0.17 -0.11 55 0.531 56 0.422 55 0.377 1.52 -25.285 QSO
583821 19.198516 1.246982 2730.2359756 19.37 -0.01 -0.02 0.19 0.17 64 0.504 65 0.399 62 0.306 1.97 -26.108 QSO
584286 18.630967 -0.18682 2906.3805715 19.91 0.17 0.07 0.3 -0.07 65 0.67 65 0.528 65 0.344 1.84 -25.291 QSO
584397 17.862936 0.715229 1643.5689626 19.8 0.14 0.15 -0.13 0.08 63 0.339 62 0.313 63 0.337 0.9 -23.5 QSO
584531 19.352247 -0.355696 1690.3975607 19.93 0.98 0.2 -0.0 0.02 52 0.572 52 0.586 54 0.491 2.89 -26.068 QSO
584709 19.417374 -0.604694 2217.1672014 19.53 -0.05 -0.01 0.15 0.13 57 0.336 63 0.324 65 0.306 1.99 -25.933 QSO
585159 17.481784 0.916847 2532.3416053 18.23 0.22 -0.16 0.09 0.03 55 0.465 56 0.468 56 0.388 0.5 -23.91 QSO
585282 18.213014 0.155928 2423.4571555 19.91 2.07 0.12 0.41 0.18 50 0.252 53 0.444 55 0.371 2.86 -26.415 QSO
585771 17.327355 0.905391 3321.033882 19.08 -0.04 0.17 -0.05 -0.05 54 1.022 55 0.72 55 0.765 1.36 -24.994 QSO
585953 16.283897 -0.844799 3016.9533846 18.03 0.25 0.07 0.2 0.0 88 0.397 96 0.351 96 0.318 1.59 -27.174 QSO
586309 16.301085 -1.008128 1926.2844837 19.57 0.23 0.06 0.21 -0.11 54 0.417 64 0.365 62 0.28 1.59 -25.463 QSO
586347 18.127307 0.244881 2232.1480033 19.21 2.49 0.32 0.05 -0.02 61 0.29 62 0.35 65 0.295 3.27 -27.246 QSO
586486 19.988377 -1.113333 3271.4661668 19.68 -0.01 0.21 0.09 -0.13 49 0.325 54 0.288 53 0.288 1.16 -24.223 QSO
586590 15.483327 0.691438 2480.7714065 19.03 0.3 -0.09 0.08 0.02 59 0.793 60 0.767 62 0.662 0.65 -23.276 QSO
586612 16.120436 -0.650927 2944.3195582 19.57 0.52 0.02 -0.03 0.13 52 0.541 56 0.502 54 0.473 2.36 -25.946 QSO
587178 18.632337 0.440258 1536.3659976 19.9 0.04 0.03 0.24 0.08 53 0.354 56 0.621 55 0.274 1.86 -25.339 QSO
588187 19.805054 0.854424 342.140973 19.39 0.22 0.16 0.39 0.14 55 0.353 57 0.337 57 0.286 1.67 -25.999 QSO
588740 18.91566 -0.366477 3321.033881 19.47 0.16 0.25 -0.06 0.06 55 0.827 57 0.738 56 0.808 0.99 -23.66 QSO
589398 15.366717 -0.530086 2020.5202735 19.57 0.16 0.29 0.07 -0.02 59 0.358 62 0.311 63 0.336 1.11 -24.645 QSO
589519 15.906121 0.43562 834.9136368 20.05 1.03 0.17 0.03 0.05 53 0.346 59 0.364 57 0.408 2.8 -25.897 QSO
590210 19.778287 -0.461285 2544.4810261 18.41 0.08 0.1 -0.1 0.07 60 0.727 66 0.614 66 0.629 0.99 -24.889 QSO
590263 19.783503 -0.661285 1928.3421186 20.07 0.22 0.21 -0.01 0.22 46 0.918 46 0.783 45 0.721 0.95 -23.609 QSO
590342 15.030325 -0.538491 2534.7022871 19.29 0.26 -0.04 -0.01 0.05 61 0.421 63 0.452 63 0.42 0.74 -23.322 QSO
590344 15.208085 0.431726 1062.4952767 20.29 0.42 0.1 0.11 0.22 57 0.404 59 0.366 58 0.4 0.76 -23.028 QSO
590456 17.650854 -1.148275 0.9980521 19.94 0.53 0.12 -0.01 0.14 52 0.399 53 0.371 54 0.362 2.23 -25.819 QSO
590822 15.608998 -0.164218 2420.193409 20.2 -0.07 0.0 0.23 0.23 60 0.581 61 0.455 60 0.336 1.99 -25.371 QSO
591428 16.870802 -0.748837 2114.3558779 19.9 0.19 0.31 -0.07 -0.08 56 0.534 57 0.303 57 0.392 1.12 -24.201 QSO
591678 18.203788 0.386294 2405.5223899 19.83 0.24 0.16 -0.12 0.11 61 1.472 61 1.405 62 1.327 0.98 -24.112 QSO
591875 19.684992 -0.381072 872.1016415 19.99 0.11 0.34 -0.02 -0.04 54 0.556 54 0.421 54 0.464 1.17 -24.22 QSO
592076 15.803564 0.455061 1.0011047 19.89 0.1 0.1 0.2 -0.02 55 0.534 55 0.625 53 0.354 1.49 -25.053 QSO
592810 18.669244 -0.482532 2594.438131 19.39 0.17 0.22 0.32 0.12 66 0.33 66 0.247 65 0.213 1.95 -26.273 QSO
592953 18.925751 0.383415 2447.1000727 19.42 -0.19 0.27 0.06 -0.02 63 0.516 61 0.4 63 0.445 1.38 -25.284 QSO
592970 15.008556 0.79266 2560.8999072 19.62 0.31 0.01 0.0 0.18 60 0.476 61 0.424 62 0.502 0.72 -23.479 QSO
593176 19.958757 1.254021 2923.527303 19.06 1.8 0.05 -0.04 0.06 62 0.26 62 0.267 60 0.264 2.95 -27.033 QSO
593181 16.241762 0.422786 2528.235288 20.31 0.16 0.04 0.34 -0.01 109 0.734 112 0.661 114 0.473 1.76 -25.186 QSO
593850 19.828389 -0.691442 3293.3123618 20.22 0.23 0.08 0.32 0.08 55 0.315 57 0.332 56 0.269 1.83 -25.065 QSO
593961 17.447639 1.130706 3126.4223119 18.18 0.08 0.13 -0.08 0.04 63 0.314 64 0.236 62 0.253 0.97 -25.46 QSO
594032 18.582751 0.016793 2118.1608052 20.13 0.19 0.03 0.33 -0.02 52 0.468 51 0.395 54 0.361 1.69 -25.264 QSO
595830 19.911901 1.021236 1.9925898 20.14 0.15 0.06 0.28 -0.04 53 0.43 56 0.408 56 0.339 1.84 -25.278 QSO
596199 19.396508 0.175021 0.9983672 19.5 0.29 -0.02 -0.08 0.16 56 0.406 55 0.362 56 0.398 0.79 -23.39 QSO
596486 19.997243 0.232807 2700.4786242 18.59 0.09 0.25 -0.02 -0.02 63 0.344 64 0.296 66 0.307 1.05 -25.405 QSO
596509 19.952154 0.732225 3336.956114 18.81 0.39 0.31 0.44 0.08 63 0.672 64 0.547 66 0.446 1.77 -26.961 QSO
596776 18.360993 -0.434124 2940.8776626 19.81 0.31 0.17 -0.06 0.23 64 1.181 64 1.03 64 0.948 0.94 -23.72 QSO
596803 18.165321 0.328765 1984.1307172 19.66 0.52 -0.12 0.15 0.23 61 0.77 61 0.903 63 0.74 0.68 -23.423 QSO
597263 19.37137 0.363512 3303.5865737 18.97 0.72 0.06 0.04 0.2 62 0.328 65 0.306 65 0.32 2.52 -26.904 QSO
597845 19.436214 -0.50923 2577.569255 19.17 0.03 0.26 -0.02 -0.1 56 0.842 63 0.639 64 0.655 1.32 -25.079 QSO
598180 16.124419 -0.674079 0.499253 20.08 0.66 0.15 0.12 0.4 51 0.253 55 0.267 53 0.265 2.55 -25.895 QSO
598366 16.902738 -0.168526 829.0011917 19.28 -0.0 -0.01 0.23 -0.01 60 0.392 63 0.33 61 0.322 1.84 -26.151 QSO
598860 18.925926 -0.758053 1294.4185983 19.42 0.63 0.11 0.07 0.19 52 0.499 55 0.331 55 0.288 2.21 -26.173 QSO
599068 17.851752 0.446431 3321.034106 18.37 0.08 0.18 -0.0 0.1 57 0.259 56 0.217 56 0.222 1.0 -25.45 QSO
599365 15.399377 -0.835841 2570.8668935 18.99 0.08 0.18 -0.05 0.12 110 0.414 113 0.276 114 0.336 1.01 -24.727 QSO
600120 15.961359 -0.021503 2247.3224555 19.69 0.09 0.12 0.14 0.18 61 0.369 63 0.248 62 0.23 1.96 -25.844 QSO
601684 15.198686 -0.631168 3048.6652203 18.91 0.59 0.13 0.3 0.18 113 0.487 118 0.453 115 0.363 0.73 -24.157 QSO
601808 19.756431 -0.578609 2872.6833898 19.96 0.35 -0.01 0.21 0.18 45 0.698 49 0.582 49 0.538 0.66 -22.828 QSO
601860 19.894016 -0.403231 422.8154408 19.6 0.13 0.23 -0.01 0.03 56 0.464 56 0.369 56 0.321 1.17 -24.679 QSO
602216 16.57432 -0.315994 3271.4665362 19.67 0.27 0.18 0.26 0.18 49 0.424 54 0.364 53 0.342 0.47 -22.251 QSO
602555 17.649778 0.049068 313.8825484 19.88 0.07 0.16 -0.05 0.15 53 0.448 54 0.423 55 0.378 0.93 -23.852 QSO
603132 19.384663 0.821945 3303.5865756 19.5 0.51 0.27 0.07 -0.14 59 0.694 62 0.5 66 0.401 1.37 -25.271 QSO
603331 18.933563 0.337479 2791.7625473 19.71 0.23 0.29 -0.08 -0.07 63 0.586 61 0.432 63 0.475 1.05 -24.231 QSO
603649 19.529348 0.344456 864.8089023 19.85 0.16 0.29 -0.16 -0.02 63 0.673 62 0.49 64 0.522 1.06 -23.986 QSO
604284 15.609649 -0.651245 2673.0272749 16.26 -0.02 0.07 -0.16 0.42 56 0.546 58 0.511 57 0.554 0.29 -24.694 QSO
604678 18.22883 0.053632 1515.1259372 17.59 -0.03 0.05 0.24 -0.05 51 0.498 53 0.398 55 0.326 0.24 -22.879 QSO
604716 17.358171 -0.627506 1533.7951918 18.94 -0.18 0.27 0.04 -0.02 118 0.732 119 0.507 119 0.561 1.36 -25.538 QSO
605275 18.5098 -0.797485 0.5664265 18.59 0.04 0.09 0.07 0.46 25 0.314 26 0.235 26 0.241 0.35 -22.558 QSO
606369 16.779025 -1.184799 3321.034026 19.17 0.08 0.16 -0.07 -0.13 54 0.694 55 0.522 55 0.521 1.11 -24.339 QSO
606596 17.998279 -0.270607 2561.9403118 19.95 0.17 0.29 0.26 0.2 48 0.372 51 0.378 51 0.276 0.46 -22.1 QSO
606744 17.602113 -0.262178 2128.0409784 18.92 0.15 0.1 0.31 -0.0 56 0.279 56 0.272 57 0.171 1.76 -26.489 QSO
607110 15.683897 -1.235614 1917.0981725 19.0 0.16 0.24 -0.0 0.08 53 0.244 53 0.197 54 0.256 1.05 -24.654 QSO
607577 16.161297 -1.235507 2630.2588825 19.59 0.22 0.27 -0.15 -0.03 54 0.556 54 0.337 56 0.371 1.06 -24.238 QSO
607738 17.288977 -1.17519 1.0009188 18.15 0.16 0.09 -0.05 0.05 55 0.27 55 0.228 53 0.219 0.88 -25.173 QSO
608163 16.612867 -1.228692 1529.2201107 19.86 0.18 0.09 0.28 -0.0 52 0.385 53 0.276 54 0.251 1.77 -25.546 QSO
608351 15.13958 0.366728 971.6364731 17.8 0.27 -0.05 -0.11 0.13 62 0.529 62 0.49 61 0.452 0.75 -24.981 QSO
608373 17.11183 -0.62337 2445.7322097 17.47 0.23 0.23 0.13 0.05 67 0.564 69 0.43 70 0.418 1.37 -27.236 QSO
608830 16.348724 -0.427449 1370.777042 18.76 0.23 -0.01 0.12 0.2 63 0.288 66 0.304 64 0.232 2.16 -26.911 QSO
609314 18.841788 -0.827048 929.1216002 19.15 0.04 0.38 -0.03 -0.08 56 0.262 58 0.222 58 0.289 1.28 -25.155 QSO
610203 19.697302 0.781918 3336.95617 19.1 0.48 0.07 -0.0 0.08 64 0.468 65 0.466 66 0.453 2.66 -27.241 QSO
611102 15.629186 0.005401 2923.5079677 19.65 0.35 0.4 -0.11 0.01 68 0.855 69 0.608 71 0.592 1.08 -24.35 QSO
611190 15.670993 -0.70245 3131.2605173 19.05 0.27 0.07 0.3 -0.03 56 0.273 58 0.238 56 0.203 1.74 -26.443 QSO
611567 17.687191 -1.065613 3321.033793 19.8 0.73 -0.01 -0.04 0.18 56 0.645 56 0.562 57 0.46 2.34 -25.484 QSO
613012 15.965681 -1.18258 0.2089439 19.44 0.47 0.28 -0.1 -0.06 22 0.413 25 0.318 26 0.37 1.34 -25.051 QSO
613850 17.588312 -0.423127 1984.1307222 19.51 0.73 0.26 0.17 0.07 114 0.348 115 0.227 118 0.234 1.93 -25.859 QSO
614682 16.280363 0.411269 2121.4420404 20.27 0.22 0.04 0.27 -0.12 52 0.538 57 0.553 58 0.538 1.77 -25.217 QSO
615687 15.953281 0.024101 2074.3364696 19.74 0.44 0.09 0.05 0.21 55 0.635 57 0.605 54 0.529 2.27 -25.741 QSO
615991 15.378592 1.029507 1.9959042 19.88 0.25 0.14 0.04 0.2 56 0.498 57 0.373 57 0.36 2.16 -25.749 QSO
616716 16.568303 0.949111 2909.5784107 19.97 -0.06 0.07 0.43 0.03 55 0.581 57 0.55 57 0.358 1.87 -25.706 QSO
617346 16.373201 -0.776697 3271.4661461 19.39 0.2 0.03 -0.07 0.17 56 0.52 58 0.444 58 0.474 0.86 -23.95 QSO
617520 15.292628 -0.076645 3336.933286 19.86 0.53 0.5 0.17 0.15 62 0.383 62 0.348 61 0.336 1.26 -24.381 QSO
617993 19.366037 0.840315 1287.9423206 19.01 0.3 -0.05 0.19 0.06 110 0.679 114 0.548 119 0.46 0.49 -23.104 QSO
618607 16.652315 0.287073 1201.2988007 18.3 0.3 0.25 -0.04 0.16 60 0.554 62 0.469 63 0.441 0.91 -25.452 QSO
619366 15.142506 0.724696 2823.557864 19.68 -0.03 -0.04 0.25 0.01 61 0.434 62 0.314 62 0.264 1.8 -25.582 QSO
620276 19.421349 0.340643 1139.162912 20.05 0.26 -0.15 0.17 0.06 48 0.626 48 0.619 48 0.496 0.57 -22.651 QSO
620871 17.367968 0.961956 2236.6145308 19.68 1.64 0.16 -0.06 -0.05 54 0.441 54 0.466 54 0.506 2.97 -26.274 QSO
621082 19.157529 -1.222407 1676.1826036 19.67 0.13 0.27 -0.03 0.01 51 0.433 50 0.316 51 0.44 1.06 -24.112 QSO
621482 15.009665 0.27848 2331.9257493 17.23 0.32 0.03 -0.1 0.14 62 0.268 62 0.281 63 0.237 0.78 -25.708 QSO
621648 17.84133 1.230973 3270.8777937 19.17 0.38 0.03 -0.13 0.23 62 0.443 64 0.452 61 0.478 0.81 -24.115 QSO
621682 16.759323 0.92833 2747.4848655 19.88 0.0 0.37 0.04 -0.13 55 0.587 56 0.455 54 0.528 1.36 -24.613 QSO
621702 18.989299 0.123879 1569.3667111 20.0 0.3 0.14 0.26 0.01 52 0.385 54 0.334 54 0.297 1.54 -24.967 QSO
622018 15.516293 -0.072744 2807.5614769 18.98 0.07 0.26 -0.01 -0.12 61 0.627 62 0.505 61 0.516 1.1 -24.544 QSO
622019 18.985308 -0.6021 3270.8778222 20.19 0.41 0.08 0.24 0.27 63 0.827 63 0.637 65 0.458 2.1 -25.248 QSO
622729 17.807924 -0.055089 1316.1646301 19.54 0.64 -0.12 -0.01 0.28 59 0.249 63 0.207 62 0.185 2.42 -26.342 QSO
624029 16.679599 0.40975 3146.2726964 19.5 0.08 0.15 -0.1 -0.02 60 0.502 62 0.348 63 0.378 1.02 -24.053 QSO
624097 18.651634 -0.726873 1974.6686772 19.94 0.05 0.34 0.08 0.04 49 0.74 53 0.623 54 0.623 1.3 -24.979 QSO
624210 15.943423 -0.566359 441.3540276 20.02 0.28 0.2 0.39 0.01 57 0.368 62 0.408 61 0.319 1.76 -25.266 QSO
625009 17.996495 -0.694626 2599.0698908 19.95 0.12 -0.02 0.28 -0.05 51 0.555 52 0.466 52 0.342 1.67 -25.106 QSO
625766 16.288732 0.883002 1639.8121525 18.12 0.33 0.0 0.06 -0.07 58 0.347 58 0.311 59 0.29 0.65 -24.641 QSO
626688 15.305699 -0.496741 606.1535806 19.48 0.66 0.44 0.14 0.08 59 0.284 63 0.26 62 0.208 1.34 -25.06 QSO
626732 15.40698 -0.589819 1655.9135822 19.57 0.31 0.31 0.08 0.19 57 0.271 62 0.26 63 0.272 0.84 -23.769 QSO
628281 19.955331 -0.261662 278.6290713 19.15 0.02 0.11 0.3 -0.0 55 0.413 56 0.242 56 0.175 1.81 -26.314 QSO
628296 19.303398 -0.971508 3270.8778584 19.05 0.24 -0.15 0.2 0.11 66 0.559 65 0.479 65 0.366 0.49 -23.236 QSO
628790 18.518503 0.297454 1214.548354 20.03 0.21 0.03 0.17 0.03 59 0.295 62 0.265 64 0.232 1.65 -24.939 QSO
630345 17.245437 -0.099193 2839.7585521 20.0 -0.08 0.28 -0.0 -0.05 58 0.573 62 0.442 61 0.425 1.15 -24.168 QSO
630447 15.883463 1.07588 1365.109124 19.57 0.39 0.24 0.27 -0.01 62 0.859 61 0.615 59 0.519 1.58 -25.498 QSO
631205 19.04976 -1.040162 385.9166336 19.81 -0.17 -0.1 0.22 0.23 62 0.381 67 0.346 66 0.301 2.06 -26.012 QSO
631921 17.667252 -0.409509 0.4993955 19.88 0.27 0.12 0.25 0.14 11 0.511 11 0.436 11 0.404 0.66 -23.106 QSO
632548 18.739036 0.55818 3321.033998 19.75 0.12 -0.02 0.15 -0.1 54 0.846 57 0.652 56 0.557 1.54 -24.647 QSO
632653 19.762272 -0.942701 2348.5193854 19.91 0.18 -0.02 0.21 -0.04 52 0.834 62 0.834 64 0.612 1.61 -24.988 QSO
632769 18.444931 0.853977 3327.017545 20.0 0.01 0.02 0.14 0.26 51 0.667 53 0.697 53 0.652 2.13 -26.037 QSO
632787 18.824136 0.287584 1972.285179 20.13 0.28 0.16 0.27 -0.02 62 0.624 62 0.513 64 0.499 1.58 -25.005 QSO
632856 16.154812 -0.589729 1937.5666869 19.51 0.18 -0.03 0.27 -0.01 59 0.483 62 0.493 61 0.386 1.64 -25.389 QSO
633427 15.849338 -0.048386 2307.4952365 19.84 0.07 -0.05 0.26 0.01 61 0.797 61 0.723 60 0.597 1.75 -25.488 QSO
633594 19.652763 0.560539 982.9067743 20.31 0.12 0.07 0.27 0.0 54 0.565 55 0.424 55 0.45 1.63 -24.953 QSO
634841 17.012094 -1.162798 0.9962526 19.37 3.01 0.64 0.13 0.07 53 0.202 56 0.226 56 0.187 3.37 -27.303 QSO
635170 18.371483 -1.140595 1681.7510223 19.71 0.15 -0.02 0.31 -0.09 55 0.771 55 0.681 55 0.522 1.76 -25.392 QSO
635261 15.537652 0.306305 2560.9023391 18.97 0.5 0.09 -0.04 0.17 60 0.641 61 0.441 63 0.416 2.28 -26.86 QSO
635275 16.623327 0.022917 2535.5964418 18.32 0.14 0.04 0.21 0.08 55 0.211 56 0.172 57 0.179 1.63 -26.775 QSO
635353 19.668344 0.667791 0.9976325 20.22 0.23 0.13 0.26 0.03 63 0.394 64 0.419 65 0.292 1.6 -25.023 QSO
635558 18.115018 -1.206017 0.9970381 18.17 0.24 0.15 0.28 0.03 54 0.389 54 0.325 55 0.303 1.76 -27.324 QSO
636085 17.172476 -0.167509 2560.9182363 18.19 0.01 0.23 0.01 -0.06 59 0.209 64 0.209 62 0.213 1.24 -26.079 QSO
636686 15.906678 0.478283 0.998487 19.4 0.47 -0.15 0.08 0.23 51 0.276 57 0.339 55 0.26 2.3 -26.485 QSO
637438 18.257378 -1.002528 2286.2119416 19.48 0.25 0.04 -0.03 0.08 60 0.416 63 0.366 63 0.377 0.93 -23.737 QSO
637481 16.83496 0.909809 668.9365456 19.48 0.31 0.42 0.26 0.07 56 0.363 57 0.296 55 0.244 1.48 -25.244 QSO
637953 17.737102 0.320016 2577.5692438 18.37 0.25 0.14 0.04 0.1 55 0.426 62 0.401 64 0.343 0.81 -24.896 QSO
638116 15.48722 -1.105649 3271.4660535 19.47 0.6 0.18 -0.02 0.16 56 0.362 56 0.243 55 0.205 2.45 -26.248 QSO
638886 16.08955 0.179831 2251.9337708 19.88 -0.06 -0.05 0.22 0.05 54 0.836 52 0.772 54 0.708 1.72 -25.558 QSO
639887 16.000801 -0.593346 1253.7166305 19.57 0.23 0.08 -0.12 0.08 56 0.461 60 0.45 60 0.473 0.88 -23.533 QSO
640042 17.063915 -0.300801 3321.033829 19.43 0.02 -0.08 0.22 -0.06 54 0.371 55 0.324 55 0.219 1.76 -25.957 QSO
640084 18.907158 0.341305 3068.3462688 18.89 -0.02 0.27 0.01 -0.1 60 0.579 60 0.453 63 0.461 1.28 -25.683 QSO
640172 18.268135 0.583793 3321.033897 19.58 0.24 0.32 -0.03 0.02 55 0.387 55 0.361 57 0.376 1.11 -24.547 QSO
640243 19.161679 -0.652306 0.2195512 19.98 0.42 0.24 0.14 0.26 53 0.304 52 0.22 53 0.217 2.13 -25.744 QSO
640336 19.953324 -1.249155 616.1713533 19.91 0.25 0.07 0.22 -0.01 48 0.459 53 0.438 53 0.383 1.64 -25.401 QSO
640460 17.591839 1.089708 0.9978536 19.22 0.07 0.2 0.04 -0.1 62 0.297 65 0.273 62 0.259 1.41 -25.399 QSO
640637 17.316576 -0.534597 2940.8776549 19.07 0.2 -0.02 0.2 -0.01 63 0.277 65 0.261 65 0.236 1.77 -26.124 QSO
641401 18.611433 -0.247549 1777.201779 19.83 0.14 0.03 0.17 -0.07 55 0.445 56 0.393 56 0.35 1.55 -24.899 QSO
641613 16.440137 -0.913379 0.9983421 20.16 0.1 0.1 0.4 0.22 62 0.495 63 0.44 62 0.31 2.01 -25.56 QSO
641691 17.360244 1.066698 2280.9554006 19.5 0.36 -0.01 0.12 0.22 64 0.407 65 0.313 62 0.273 2.21 -26.252 QSO
641869 19.225167 -1.166606 2236.6145612 19.13 0.04 0.17 -0.09 -0.05 52 0.546 52 0.468 52 0.518 1.11 -24.876 QSO
642156 16.967598 -1.151396 1862.7893833 19.6 3.08 0.48 0.31 0.01 52 0.269 54 0.238 54 0.141 3.28 -27.089 QSO
642465 17.562549 0.511916 1543.5790057 20.29 -0.05 0.03 0.27 0.01 54 0.564 53 0.474 52 0.377 1.84 -25.097 QSO
642650 17.751639 0.241317 3106.8209262 19.9 0.25 0.32 0.08 -0.02 53 0.683 59 0.495 62 0.481 1.24 -24.187 QSO
642792 16.750192 -0.110066 2906.3805033 19.33 0.07 0.03 0.27 0.02 62 0.545 62 0.484 61 0.446 1.83 -25.848 QSO
642935 17.214866 0.671559 2465.3613466 19.35 0.34 0.26 0.02 0.19 60 0.59 63 0.551 64 0.533 0.9 -24.277 QSO
643516 18.890122 0.982887 3321.033706 18.3 0.26 0.27 0.13 0.01 56 0.277 57 0.227 56 0.229 1.4 -26.322 QSO
644099 19.601188 -1.142204 3321.033923 19.11 0.1 0.19 -0.11 0.03 54 0.819 55 0.62 56 0.697 0.97 -24.617 QSO
