51075.273932  19.314 0.015
51464.261853  19.184 0.015
52196.274439  19.469 0.017
52197.287548  19.459 0.015
52225.137745  19.456 0.015
52231.173530  19.483 0.015
52253.159703  19.455 0.019
52557.281533  19.454 0.018
52578.177615  19.466 0.017
52908.256099  19.464 0.016
52911.269884  19.471 0.016
52930.147257  19.495 0.015
52934.187998  19.481 0.018
52936.183924  19.520 0.015
52962.109446  19.521 0.018
53270.248004  19.711 0.024
53272.297931  19.571 0.028
53286.266648  19.661 0.028
53288.225137  19.657 0.017
53294.252508  19.673 0.024
#53302.220807r -99.000 0.035
53312.176382  19.667 0.023
53314.177534  19.609 0.018
53616.281901  19.570 0.024
53623.272113  19.600 0.021
53626.258325  19.598 0.022
53628.243191  19.572 0.031
53637.244806  19.554 0.024
53639.290171  19.619 0.018
53644.237252  19.660 0.018
53654.271876  19.639 0.018
53656.219469  19.616 0.043
53663.232780  19.614 0.021
53668.222378  19.588 0.021
53670.227232  19.622 0.017
53673.195216  19.625 0.018
53675.192103  19.657 0.026
53677.213135  19.645 0.017
53680.199801  19.627 0.019
53693.201701  19.707 0.027
53704.185025  19.644 0.019
53974.277683  19.583 0.016
53989.281168  19.618 0.024
53997.376761  19.540 0.021
54000.256607  19.554 0.023
54007.306681  19.598 0.022
54009.230532  19.580 0.020
54011.294963  19.563 0.022
54019.245115  19.542 0.020
54025.293970  19.507 0.027
54029.224281  19.501 0.033
54348.291697  19.597 0.021
54358.247544  19.598 0.019
54365.280648  19.628 0.028
54373.354734  19.599 0.036
54381.300204  19.595 0.018
54386.292452  19.575 0.020
54388.296769  19.601 0.020
54403.210578  19.600 0.023
54405.266084  19.655 0.020
54406.204315  19.651 0.022
54412.207232  19.657 0.017

