51081.259324  19.928 0.053
51467.354537  19.994 0.072
51819.330479  19.993 0.046
52558.295751  20.272 0.057
52577.183248  20.190 0.053
52586.186726 20.108 0.047
52910.267209  20.331 0.048
52931.197410  20.325 0.055
52935.194373  20.436 0.067
52959.137700  20.340 0.051
52963.117444  20.250 0.043
53313.187574  20.766 0.095
53352.088509  20.663 0.066
53622.296814  20.811 0.118
53636.251818  20.939 0.187
53638.287619  20.832 0.090
#53640.251654u -99.000 1.029
53664.248782  20.898 0.197
53666.212385  20.688 0.077
53669.208024  20.578 0.065
53671.292802  20.857 0.133
53674.192259  20.752 0.084
53676.281745  20.709 0.103
53679.253633  20.768 0.100
53681.245145  20.650 0.073
#53685.204195u -99.000 0.292
53687.242535  21.250 0.428
53697.202168  20.535 0.201
53700.201128  20.601 0.077
53705.187797  20.607 0.076
#53975.272811u -99.000 0.059
#53993.340808u -99.000 0.102
53996.279537  20.265 0.057
53998.248151  20.227 0.043
54005.278407  20.163 0.051
54010.233645  20.198 0.057
54012.226549  20.426 0.123
54020.232457  20.166 0.057
#54022.281745u -99.000 0.088
54028.222829  20.152 0.051
54030.226009  20.100 0.044
54035.301916  20.193 0.084
54037.207305  20.224 0.065
54040.221826  20.366 0.108
54049.248204  20.450 0.142
54050.206371  20.328 0.123
54053.212558  20.196 0.045
54056.214210  20.091 0.085
54059.208481  20.062 0.075
54062.213391  20.101 0.057
54357.251720  19.875 0.049
54362.301493  19.943 0.043
54385.299504  19.985 0.045
54387.300010  19.986 0.050
54392.294724  19.887 0.040
54402.293243  19.866 0.101

