51081.289078 19.886 0.027
51819.360282 19.658 0.018
52558.325490 19.682 0.026
52577.212992 19.769 0.019
52586.216470 19.736 0.019
52910.296952 19.739 0.017
52931.227152 19.710 0.020
52935.224116 19.760 0.019
52959.167445 19.729 0.016
52963.147189 19.733 0.016
53352.118254 19.713 0.017
53622.326556 19.752 0.023
53634.276027 19.747 0.037
53638.317361 19.778 0.019
53640.281397 19.787 0.028
53655.253568 19.741 0.031
53664.278525 19.701 0.028
53666.242129 19.720 0.020
53669.237768 19.692 0.017
53671.322541 19.764 0.025
53674.222003 19.717 0.019
53676.311482 19.763 0.021
53679.283373 19.759 0.026
53681.274886 19.736 0.020
53685.233937 19.683 0.050
53694.247816 19.660 0.042
53697.231909 19.735 0.023
53700.230868 19.700 0.021
53705.217537 19.750 0.019
53975.302537 19.627 0.021
53990.315372 19.675 0.023
53994.325525 19.660 0.018
53996.309268 19.666 0.020
#53998.277892 -99.000 0.055
54005.308137 19.666 0.016
54010.263373 19.652 0.018
54012.256228 19.679 0.026
54020.262212 19.771 0.053
54024.343819 19.692 0.029
54028.252603 19.652 0.023
54030.255783 19.692 0.016
54035.331538 19.690 0.066
54037.237002 19.675 0.022
54040.251489 19.680 0.028
54049.277946 19.784 0.034
54053.242269 19.721 0.023
#54059.238564 -99.000 0.058
54062.243230 19.749 0.030
54068.223779 19.725 0.035
54357.281452 19.937 0.024
#54362.331228 -99.000 0.035
54382.311492 19.934 0.033
54385.329258 19.879 0.025
54387.329750 19.874 0.026
54392.324512 19.953 0.030
54402.322974 19.942 0.035

